NSN,rep_office,common_name,Description,Price,UI,AAC
3510002739738,General Products,Laundry Bag,Nylon laundry net features two brass grommets at the top that can be joined together by Laundry Pin NSN 3510002221457 (sold separately). Laundry nets are intended for use in laundries when washing items of clothing.,34.35,DZ,H
3510002739739,General Products,Laundry Bag,Nylon laundry net features two brass grommets at the top that can be joined together by Laundry Pin NSN 3510002221457 (sold separately). Laundry nets are intended for use in laundries when washing items of clothing.,77.35,DZ,H
3510016227152,General Products,Laundry Net,"Locking drawstring, medium duty, 1/16"" hole size. Laundry net made of synthetic mesh.",7.87,EA,H
3510016227153,General Products,Laundry Net,"Locking drawstring, heavy duty, 3/16"" hole size. Laundry net made of synthetic mesh.",8.73,EA,H
3540002238436,General Products,Steel Strapping Tensioner,"For use with 2"" heavyduty strapping  in the 0.050"" thickness range. Features limited drum takeup. For use on cuttolength, heavyduty flat steel strapping with any class of finish. Gripping dog grasps strapping. Rotating drum adjusts tension. Without s",234.72,EA,H
3540002238589,General Products,Steel Strapping Sealer,"Seals 3/4""wide, 0.025 to 0.035""thick steel strapping. Heavyduty sealer has a single crimping notch. Handles operate at a right angle to strapping. With side jaw. Handoperated, nonpowered sealer crimps seals on steel strapping to form a complete stra",157.58,EA,H
3540002238592,General Products,Steel Strapping Sealer,"Seals 11/4""wide, 0.044 to 0.050""thick steel strapping. Heavyduty sealer has a single crimping notch. Handles operate at a right angle to strapping. With side jaw. Handoperated, nonpowered sealer crimps seals on steel strapping to form a complete st",158.34,EA,H
3540002738821,General Products,Strapping Coil Hand Truck,"Use for dispensing ribbonwound, flat steel strapping. Coils revolve on rollers mounted at bottom of frame; the integral rack holds ribbonwound coils of 3/4, 11/4 and 2"" strapping simultaneously. Strapping coil hand truck conveniently rolls directly to ",279.23,EA,H
3540002781251,General Products,Steel Strapping Tensioner,"For use with 3/4 to 11/4"" heavyduty strapping in the 0.028 to 0.050"" thickness range. Features limited drum takeup. For use on cuttolength, heavyduty flat steel strapping with any class of finish. Gripping dog grasps strapping. Rotating drum adjusts",224.77,EA,H
3540003448642,General Products,Strapping Coil Hand Truck,"The perfect device for dispensing oscillated wound, flat steel strapping. Coils revolve on a 16""diameter removable dispensing reel. Handles strapping coil or coils with a width of 3 or 6"", 16"" inside diameter. Strapping coil hand truck conveniently rolls",206.64,EA,H
3540005656240,General Products,Strapping and Sealing Kit,"Consists of 3/8""wide steel strapping (0.020"" thick) and 2,000 seals. Replacement strapping (100lbs. coil) is available under 8135002830664 and replacement seals (box of 5,000) are available under 8135002395285. Handoperated kit secures and reinfo",267.1,KT,H
3540005656241,General Products,Strapping and Sealing Kit,"Consists of 1/2"" wide steel strapping (0.020"" thick) and 2,000 seals. Replacement strapping (100lb. coil) is available under 8135002830666 (Galvanized) or 8135002854747 (Painted)  and replacement seals (box of 5,000) are available under 813500239",277,KT,H
3540005656242,General Products,Strapping and Sealing Kit,"Consists of 5/8"" wide steel strapping (0.020"" thick) and 1,600 seals. Replacement strapping (100lb. coil) is available under 8135002830667 (Galvanized) or 8135002814071 (Painted) and replacement seals (box of 5,000) are available under 813500290",270.71,KT,H
3540005656243,General Products,Strapping and Sealing Kit,"Consists of 3/4""wide steel strapping (0.020"" thick) and 1,500 seals. Replacement strapping (100lb. coil) is available under 8135002830668 (Galvanized) or 8135002854748 (Painted) and replacement seals (box of 5,000) are available under 8135002395",266.68,KT,H
3540005656244,General Products,Strapping and Sealing Kit,"Consists of 11/4""wide steel strapping (0.035"" thick) and 100 seals. Heavyduty steel strapping cutter is also included. Replacement strapping (100lb. coil) is available under 8135002830671 (Galvanized) or 8135005317721 (Painted) and replacement se",484.18,KT,H
3540008578512,General Products,Steel Strapping Tensioner,"For use on 5/8 to 3/4"" lightduty strapping in the 0.010 to 0.023"" thickness range. Has feedwheel, unlimited takeup. For use on lubricated strapping, uncoated or coated, direct from the coil. Uses feedwheel action to bite into and slide strapping. witho",68.17,EA,H
3540014564286,General Products,Heat Sealing Machine,"For the modified version of the sealing machine for surface ship use NSN 3540015334085. For the modified version of the sealing machine for submarine use see NSN 3540015334090. Width 61/2"", Height 63/4"", Throat 21/4"", Length 14 "", Wgt. 13 lbs, Sp",3875.49,EA,H
3590000581837,General Products,Barber's Kit,"A grooming essential for military personnel in the field. Barber's kit includes electric clipper (with speeds of 1700 to 2900 strokes per minute). Set includes various detachable blades and a size 0 manual clipper plus blade set; barber cloths (2 ea), com",344.07,KT,H
3590008924525,General Products,Hair Clippers,"Electric clipper cuts and trims hair. Set contains a detachable cutter head, 8 foot cord, size 1 and 000 blades, blade guard, bladecleaning brush, and a container of oil. Operates on 115v AC/DC, 25 to 60cycle, singlephase power. Weighs about 2 lbs.",78.78,EA,H
3740002523384,Hardware,Mouse Trap,"This standard size mouse trap features a four way mechanism that reacts to slight pressure on any side. It is made of wood, with trap wire and trigger. The trap has a double or single legged tension spring.",8,DZ,H
3740002601398,Hardware,Rat Trap,This standardsize rat trap features a fourway mechanism that reacts to slight pressure on any side. The trap has a double or singlelegged tension spring. Has a wooden or plastic base.,26.04,DZ,H
3750005996101,Hardware,Lawn Rake,"Class A: Radial head, Head 17"" W minimum, Tines: 18, Handle: 42"" L minimum. Lawn rake is suitable for raking grass clippings, leaves, twigs and litter from lawns without injury to the grass or roots. This steel tine rake has a flexible head and a handle m",22.91,EA,H
3750006411197,Hardware,Pruning Shears (Two Hand Loppers),"These rose and garden shears are for thinning plants or shaping small shrubbery. These shears have high carbon steel blades with steel, fiberglass or hardwood handles and a safety stop to protect operator.",17.24,EA,H
3750006415587,Hardware,Pruning Shears (One Hand),"These rose and garden shears are for thinning plants or shaping small shrubbery. These shears have high carbon steel blades with steel, fiberglass or hardwood handles and a safety stop to protect operator.",18.39,PR,H
3750016117559,Hardware,Garden Hoe,"Control weeds with this hoe by agitating the surface of the soil around plants, piling soil around the base of plants (hilling), creating narrow furrows and shallow trenches for planting seeds and bulbs, to chop weeds, roots and crop residues, and even to",35.22,EA,H
3750016118751,Hardware,Rake (Garden),These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.,37.17,EA,H
3750016118752,Hardware,Rake (Leaf),These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.,25.81,EA,H
3750016158542,Hardware,Rake (Garden),These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.,32.56,EA,H
